second,num_frames,mean_speed_px_s,variance_speed_px_s2,mean_direction_deg_circular,direction_circular_variance,direction_circular_std_deg
0,30,48.876895,6.392852,-179.405613,0.013943,9.601403
1,30,49.774798,6.513357,-179.711923,0.004001,5.130533
2,30,49.574958,2.389832,-175.404166,0.001365,2.994422
3,30,49.248038,2.957209,-178.746812,0.000953,2.501497
4,30,49.731955,3.604228,177.274528,0.001919,3.551399
5,30,49.260246,3.915053,169.310812,0.004787,5.613118
6,30,50.156562,5.713190,169.915261,0.001218,2.828304
7,30,48.382638,2.085342,174.131696,0.000534,1.872770
8,30,49.746770,3.626845,173.762014,0.000714,2.165350
9,30,48.336899,3.552296,176.036757,0.000545,1.892333
10,30,45.623885,4.630804,177.365327,0.001012,2.578080
11,30,45.247343,3.998498,173.371016,0.000509,1.827424
12,30,46.410790,5.425678,179.781412,0.001463,3.100489
13,30,49.654197,13.952405,-179.890300,0.000844,2.354353
14,30,51.654341,9.166438,-179.218496,0.000561,1.918695
15,30,51.904070,7.858995,179.809236,0.000216,1.191958
16,30,50.005233,5.671756,174.990194,0.000646,2.060540
17,30,48.108604,4.752709,174.402512,0.000536,1.875820
18,30,48.968954,6.720560,172.610079,0.002953,4.406789
19,30,49.308126,7.431419,178.411951,0.003931,5.084986
20,30,48.167838,2.620772,173.557385,0.001294,2.915648
21,30,48.448948,5.889714,-178.059993,0.002990,4.434063
22,30,48.378366,6.077445,-172.284539,0.003556,4.836019
23,30,47.327005,6.734811,-179.809990,0.010156,8.186484
24,27,48.770619,6.416465,167.044794,0.003151,4.551999
